Num,onset,d,hof,empaul,ersumpa,erpka
1,-2.23,1,-10.4519,1.36,7.65,44
2,-2.02,2,-11.394,1.54,7.65,44
3,-1.29,3,-8.1533,1.63,7.65,44
4,-1.05,5,-6.2645,1.66,7.65,44
5,-1.22,5,-5.4945,1.55,7.65,44
6,-0.73,6,-6.4484,1.83,7.65,44
7,-0.42,7,-5.5968,1.88,7.65,44
8,-0.19,8,-4.7538,1.92,7.65,44
9,0.22,10,-3.2591,1.9,7.65,44
10,-0.03,10,-2.1943,1.65,7.65,44
11,-2.15,1,-10.3982,1.22,7.65,44
13,-1.57,4,-12.0684,1.59,7.65,44
14,-0.88,5,-7.7098,2.16,7.65,44
16,0.06,7,-6.137,2.2,7.65,44
17,-0.08,8,-4.8408,2.28,7.65,44
18,0.48,10,-2.8129,2.2,7.65,44
19,0.48,10,-0.8975,1.93,7.65,44
21,-1.91,2,-13.5823,1.32,7.65,44
22,-1.8,3,-13.8793,1.51,7.65,44
23,-1.29,4,-9.6354,2.36,7.65,44
24,-1.12,5,-8.9307,1.93,7.65,44
25,-0.47,6,-6.2095,2.18,7.65,44
26,-0.25,7,-6.5139,2.2,7.65,44
27,0.09,9,-3.3838,2.28,7.65,44
28,0.81,10,-0.3957,2.54,7.65,44
29,-2.13,1,-10.4519,1.36,10.2,44
30,-1.53,2,-11.394,1.54,10.2,44
31,-1.23,3,-8.1533,1.63,10.2,44
32,-0.83,5,-6.2645,1.66,10.2,44
33,-0.28,5,-5.4945,1.55,10.2,44
34,0.05,6,-6.4484,1.83,10.2,44
35,0.39,7,-5.5968,1.88,10.2,44
36,0.68,8,-4.7538,1.92,10.2,44
37,0.68,10,-3.2591,1.9,10.2,44
38,0.7,10,-2.1943,1.65,10.2,44
39,-1.96,1,-10.3982,1.22,10.2,44
41,-1.06,4,-12.0684,1.59,10.2,44
42,-0.66,5,-7.7098,2.16,10.2,44
44,0.37,7,-6.137,2.2,10.2,44
45,0.71,8,-4.8408,2.28,10.2,44
46,0.42,10,-2.8129,2.2,10.2,44
47,0.57,10,-0.8975,1.93,10.2,44
49,-1.51,2,-13.5823,1.32,10.2,44
50,-1.31,3,-13.8793,1.51,10.2,44
51,-0.91,4,-9.6354,2.36,10.2,44
52,-0.68,5,-8.9307,1.93,10.2,44
53,0.07,6,-6.2095,2.18,10.2,44
54,0.27,7,-6.5139,2.2,10.2,44
55,0.76,9,-3.3838,2.28,10.2,44
56,-0.29,10,-0.3957,2.54,10.2,44
57,-2.29,1,-10.4519,1.36,12.16,5.25
58,-1.56,2,-11.394,1.54,12.16,5.25
59,-1.15,3,-8.1533,1.63,12.16,5.25
60,0.03,5,-6.2645,1.66,12.16,5.25
61,0.25,5,-5.4945,1.55,12.16,5.25
62,0.81,6,-6.4484,1.83,12.16,5.25
63,0.73,7,-5.5968,1.88,12.16,5.25
64,0.63,8,-4.7538,1.92,12.16,5.25
65,0.66,10,-3.2591,1.9,12.16,5.25
66,-0.1,10,-2.1943,1.65,12.16,5.25
67,-2.07,1,-10.3982,1.22,12.16,5.25
69,-0.86,4,-12.0684,1.59,12.16,5.25
70,0,5,-7.7098,2.16,12.16,5.25
72,0.34,7,-6.137,2.2,12.16,5.25
73,0.46,8,-4.8408,2.28,12.16,5.25
74,-0.41,10,-2.8129,2.2,12.16,5.25
75,0.48,10,-0.8975,1.93,12.16,5.25
77,-1.5,2,-13.5823,1.32,12.16,5.25
78,-1.19,3,-13.8793,1.51,12.16,5.25
79,-0.52,4,-9.6354,2.36,12.16,5.25
80,-0.27,5,-8.9307,1.93,12.16,5.25
81,0.55,6,-6.2095,2.18,12.16,5.25
82,0.29,7,-6.5139,2.2,12.16,5.25
83,-0.18,9,-3.3838,2.28,12.16,5.25
84,-0.9,10,-0.3957,2.54,12.16,5.25
85,-2.13,1,-10.4519,1.36,12.16,16.5
86,-1.49,2,-11.394,1.54,12.16,16.5
87,-1.02,3,-8.1533,1.63,12.16,16.5
88,0.43,5,-6.2645,1.66,12.16,16.5
89,0.64,5,-5.4945,1.55,12.16,16.5
90,0.78,6,-6.4484,1.83,12.16,16.5
91,0.63,7,-5.5968,1.88,12.16,16.5
92,-0.24,8,-4.7538,1.92,12.16,16.5
93,-0.78,10,-3.2591,1.9,12.16,16.5
94,-0.95,10,-2.1943,1.65,12.16,16.5
95,-2.34,1,-10.3982,1.22,12.16,16.5
97,-0.43,4,-12.0684,1.59,12.16,16.5
98,0.58,5,-7.7098,2.16,12.16,16.5
100,0.32,7,-6.137,2.2,12.16,16.5
101,-0.46,8,-4.8408,2.28,12.16,16.5
102,-1.29,10,-2.8129,2.2,12.16,16.5
103,-1.32,10,-0.8975,1.93,12.16,16.5
105,-1.64,2,-13.5823,1.32,12.16,16.5
106,-1.16,3,-13.8793,1.51,12.16,16.5
107,-0.17,4,-9.6354,2.36,12.16,16.5
108,0.55,5,-8.9307,1.93,12.16,16.5
109,0.76,6,-6.2095,2.18,12.16,16.5
110,0.63,7,-6.5139,2.2,12.16,16.5
111,-0.44,9,-3.3838,2.28,12.16,16.5
112,-1.6,10,-0.3957,2.54,12.16,16.5
